Service Name,Description,Primary Language,Estimated LOC,Internal Dependencies,External Dependencies,AWS SDK Challenges,EC2 Environment Assumptions,Statefulness Issues,Migration Complexity
"user-handler-041","Handles user handler operations.","Python","27221","analytics-processor-054; product-api-077; user-manager-025","MongoDB; PostgreSQL","AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"payment-engine-042","Handles payment engine operations.","C#","23555","inventory-api-070; user-manager-004","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","HTTP session management within the service process (sticky sessions)","High"
"order-processor-043","Handles order processor operations.","C#","26330","analytics-engine-071; inventory-manager-011; payment-handler-009","PostgreSQL","AWS SDK - S3 (file storage)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"user-api-044","Handles user api operations.","Ruby","12563","notification-service-059; payment-handler-026","PostgreSQL; Redis","AWS SDK - SQS (message queue)","None","None","Low"
"order-service-045","Handles order service operations.","Python","12567","auth-handler-061; product-api-077","Kafka; MongoDB; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"search-worker-046","Handles search worker operations.","Java","24330","auth-handler-061; config-service-024; payment-processor-013","Elasticsearch; Kafka","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","None","None","Medium"
"user-manager-047","Handles user manager operations.","Go","1585","inventory-service-008; notification-api-014; search-api-021","Kafka; MongoDB","AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SSM Parameter Store (config retrieval)","None","None","Medium"
"user-service-048","Handles user service operations.","C#","25531","analytics-engine-071; config-handler-010; order-processor-056","PostgreSQL; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","None","High"
"order-engine-049","Handles order engine operations.","Node.js","23604","inventory-api-016; notification-service-059; payment-handler-009","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage)","Long-running background processes managed by systemd/supervisord","HTTP session management within the service process (sticky sessions)","High"
"auth-service-050","Handles auth service operations.","Ruby","29813","analytics-api-072; search-api-021","PostgreSQL","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Specific environment variables from EC2 user data/AMIs","None","High"
"product-api-051","Handles product api operations.","Java","18260","config-handler-010; payment-processor-013","Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Reliance on Instance Metadata Service (IMS)","None","High"
"payment-worker-052","Handles payment worker operations.","Java","14141","analytics-worker-027; notification-api-014; search-worker-046","Elasticsearch; Kafka; MongoDB","AWS SDK - SQS (message queue)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"inventory-processor-053","Handles inventory processor operations.","C#","15560","auth-handler-061; inventory-manager-011; product-api-077","PostgreSQL; Redis","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","Medium"
"analytics-processor-054","Handles analytics processor operations.","Go","11571","payment-engine-042; user-manager-004","Elasticsearch; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Specific environment variables from EC2 user data/AMIs","None","High"
"analytics-service-055","Handles analytics service operations.","Ruby","24584","auth-api-001; inventory-manager-011; notification-manager-034","Elasticsearch; MongoDB","AWS SDK - DynamoDB (NoSQL database); AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"order-processor-056","Handles order processor operations.","Python","12869","payment-processor-013; user-manager-004","PostgreSQL","AWS SDK - SQS (message queue)","None","None","Low"
"inventory-service-057","Handles inventory service operations.","Node.js","24694","analytics-engine-071; config-handler-075; user-manager-004","Kafka; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - Secrets Manager (secret retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","High"
"analytics-engine-058","Handles analytics engine operations.","Python","26084","config-handler-010; inventory-api-070; user-manager-004","Kafka","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Reliance on Instance Metadata Service (IMS)","None","High"
"notification-service-059","Handles notification service operations.","Go","22941","analytics-processor-054; inventory-manager-011; product-api-077","Consul; Kafka","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue)","Specific environment variables from EC2 user data/AMIs","None","High"
"product-manager-060","Handles product manager operations.","C#","22320","analytics-engine-022; config-handler-010","Elasticsearch; PostgreSQL; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","None","None","Medium"
"auth-handler-061","Handles auth handler operations.","Ruby","10020","notification-service-059; product-manager-060","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Reliance on Instance Metadata Service (IMS)","HTTP session management within the service process (sticky sessions)","High"
"search-api-062","Handles search api operations.","Go","28091","analytics-engine-022; order-engine-049","Elasticsearch; Kafka","AWS SDK - DynamoDB (NoSQL database); AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","High"
"search-api-063","Handles search api operations.","Java","28292","analytics-manager-033","Elasticsearch; Redis","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - SQS (message queue)","Long-running background processes managed by systemd/supervisord","None","Medium"
"user-manager-064","Handles user manager operations.","Python","12760","inventory-processor-053; notification-api-014; payment-processor-013","PostgreSQL","AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","None","None","Medium"
"notification-processor-065","Handles notification processor operations.","C#","16524","payment-engine-042","Redis","AWS SDK - Kinesis (data streams); AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","High"
"analytics-manager-066","Handles analytics manager operations.","Java","12248","payment-processor-013","Elasticsearch; Kafka; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue)","None","None","Medium"
"payment-service-067","Handles payment service operations.","Python","27222","notification-processor-065; product-api-077; user-service-048","Kubernetes; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","High"
"search-service-068","Handles search service operations.","Go","22131","payment-processor-013; user-manager-004","Elasticsearch; Kafka; MongoDB","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue)","Specific local file system paths for temp storage (/tmp, /var/log)","None","High"
"notification-api-069","Handles notification api operations.","Java","26084","config-handler-010; inventory-api-016","Kubernetes; RabbitMQ","AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","None","None","Medium"
"inventory-api-070","Handles inventory api operations.","Python","29035","config-service-024; notification-manager-034; search-api-021","PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","None","High"
"analytics-engine-071","Handles analytics engine operations.","C#","25531","auth-api-001; order-processor-056","Elasticsearch; Kafka; MongoDB","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Long-running background processes managed by systemd/supervisord","None","High"
"analytics-api-072","Handles analytics api operations.","Java","22949","config-handler-010; inventory-processor-053; payment-handler-009","Elasticsearch; Redis","AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"product-processor-073","Handles product processor operations.","Ruby","23173","analytics-processor-054; order-engine-049; search-worker-046","MongoDB; PostgreSQL","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","High"
"search-service-074","Handles search service operations.","Go","1956","inventory-manager-011; notification-manager-034","Elasticsearch; Kafka","AWS SDK - S3 (file storage)","None","None","Low"
"config-handler-075","Handles config handler operations.","C#","15873","analytics-manager-066","Consul; Vault","AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"analytics-handler-076","Handles analytics handler operations.","Java","24694","auth-api-001; config-service-024","Elasticsearch; Kafka","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"product-api-077","Handles product api operations.","Python","12869","analytics-engine-022; notification-api-014; search-api-021","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Long-running background processes managed by systemd/supervisord","HTTP session management within the service process (sticky sessions)","High"
"auth-processor-078","Handles auth processor operations.","Node.js","27038","config-handler-075; payment-processor-013","PostgreSQL","AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"payment-api-079","Handles payment api operations.","Go","10360","analytics-handler-076; inventory-api-016; search-api-021","PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","High"
"notification-service-080","Handles notification service operations.","Ruby","26084","config-handler-010; notification-api-014; payment-processor-013","PostgreSQL; RabbitMQ; Redis","AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Specific environment variables from EC2 user data/AMIs","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"product-engine-081","Handles product engine operations.","Python","18858","analytics-manager-033; order-engine-049; user-service-020","Elasticsearch; Kafka; Redis","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"auth-api-082","Handles auth api operations.","Node.js","28807","inventory-processor-053; payment-engine-042","Redis","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","None","None","Medium"
"config-worker-083","Handles config worker operations.","Go","19028","inventory-manager-011; notification-manager-034","Consul; Kafka","AWS SDK - SSM Parameter Store (config retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"user-worker-084","Handles user worker operations.","Node.js","17088","analytics-api-072; notification-processor-065","MongoDB; PostgreSQL","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","High"
"order-handler-085","Handles order handler operations.","Java","24059","analytics-engine-022; config-service-024; payment-processor-013","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Specific environment variables from EC2 user data/AMIs","None","High"
"payment-processor-086","Handles payment processor operations.","C#","25590","analytics-handler-076; order-engine-049; user-service-020","Kafka; PostgreSQL","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"product-handler-087","Handles product handler operations.","Java","2185","notification-api-014; order-api-017","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","High"
"auth-worker-088","Handles auth worker operations.","Node.js","15494","analytics-engine-022; product-api-077","Kafka; Redis","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","High"
"analytics-api-089","Handles analytics api operations.","Ruby","20165","config-handler-010; inventory-processor-053","Elasticsearch; Kafka","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","High"
"payment-processor-090","Handles payment processor operations.","Go","18788","notification-manager-034; search-api-021","PostgreSQL","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Long-running background processes managed by systemd/supervisord","None","High"
"user-service-091","Handles user service operations.","Node.js","11894","auth-handler-061; order-processor-056; payment-processor-013","PostgreSQL","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"order-api-092","Handles order api operations.","Node.js","17409","analytics-engine-022; payment-handler-009; product-manager-060","MongoDB; Redis","AWS SDK - Secrets Manager (secret retrieval)","Long-running background processes managed by systemd/supervisord","None","Medium"
"config-manager-093","Handles config manager operations.","Java","2972","analytics-processor-054; inventory-api-016; search-api-021","Consul; Kafka","AWS SDK - SSM Parameter Store (config retrieval)","None","None","Low"
"payment-engine-094","Handles payment engine operations.","Java","26488","analytics-manager-033; order-engine-049; user-manager-064","Kafka; MongoDB; PostgreSQL","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","HTTP session management within the service process (sticky sessions)","High"
"search-manager-095","Handles search manager operations.","Ruby","25178","config-handler-075; inventory-processor-053; payment-handler-026","Elasticsearch; Redis","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"user-api-096","Handles user api operations.","Node.js","16521","notification-service-059; product-manager-060","PostgreSQL","AWS SDK - SQS (message queue)","Specific environment variables from EC2 user data/AMIs","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"inventory-engine-097","Handles inventory engine operations.","C#","25590","analytics-engine-022; config-service-024; order-engine-049","PostgreSQL; Redis","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"search-worker-098","Handles search worker operations.","Node.js","28807","auth-api-001; order-processor-056","Elasticsearch; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Specific local file system paths for temp storage (/tmp, /var/log)","None","High"
"analytics-handler-099","Handles analytics handler operations.","Go","19028","inventory-manager-011; notification-manager-034","Elasticsearch; Kafka","AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","None","Medium"
"user-worker-100","Handles user worker operations.","C#","17088","analytics-manager-033; order-engine-049","MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","High"
